code,title,unit_code
222147,Urology nurse,2221
223001,Acupuncturist,2230
223002,Ayuverdic practitioner,2230
223003,Chinese herbal medicine practitioner,2230
223004,Homeopath,2230
223005,Naturopath,2230
223006,Unani practitioner,2230
224001,Advanced care paramedic,2240
224002,Feldsher,2240
224003,Paramedic clinical officer,2240
224004,Primary care paramedic,2240
224005,Surgical technician,2240
225001,Animal nutritionist,2250
225002,Animal pathologist,2250
225003,Public health veterinarian,2250
225004,Veterinarian,2250
225005,Veterinary epidemiologist,2250
225006,Veterinary intern,2250
225007,Veterinary surgeon,2250
226101,Dental practitioner,2261
226102,Dental surgeon,2261
226103,Dentist,2261
226104,Endodontist,2261
226105,Oral and maxillofacial surgeon,2261
226106,Oral pathologist,2261
226107,Orthodontist,2261
226108,Pedodontist,2261
226109,Periodontist,2261
226110,Prosthodontist,2261
226201,Dispensing chemist,2262
226202,Hospital pharmacist,2262
226203,Industrial pharmacist,2262
226204,Pharmacist,2262
226205,Retail pharmacist,2262
226301,Environmental health officer,2263
226302,Occupational health and safety adviser,2263
226303,Occupational hygienist,2263
226304,Radiation protection expert,2263
226401,Geriatric physical therapist,2264
226402,Orthopedic physical therapist,2264
226403,Pediatric physical therapist,2264
226404,Physical therapist,2264
226405,Physiotherapist,2264
226501,Clinical dietician,2265
226502,Dietetic consultant,2265
226503,Dietician,2265
226504,Food and nutrition specialist,2265
226505,Food service dietician,2265
226506,Nutritionist,2265
226507,Public health nutritionist,2265
226508,Public health nutritionist,2265
226509,Sports nutritionist,2265
226510,Therapeutic/clinic dietician,2265
226601,Audiologist,2266
226602,Language therapist,2266
226603,Speech pathologist,2266
226604,Speech therapist,2266
226701,Ophthalmic optician,2267
226702,Optometrist,2267
226703,Orthoptist,2267
226901,Arts therapist,2269
226902,Dance and movement therapist,2269
226903,Occupational therapist,2269
226904,Podiatrist,2269
226905,Pulmonary or respiratory therapist,2269
226906,Recreational therapist,2269
231001,Assistant professor,2310
231002,College professor,2310
231003,Information technology professor,2310
231004,Professor,2310
231005,University lecturer,2310
232001,Automotive technology instructor,2320
232002,Cosmetology instructor,2320
232003,Vocational education teacher,2320
233001,High school teacher,2330
233002,Secondary education teacher,2330
234201,Early childhood educator,2342
234202,Kindergarten teacher,2342
234203,Nursery school teacher,2342
234204,Pre-school teacher,2342
235101,Audio-visual teaching aids specialist,2351
235102,Curriculum coordinator,2351
235103,Curriculum developer,2351
235104,Education methods adviser,2351
235105,Education methods specialist,2351
235106,School inspector,2351
235107,Teaching aids specialist,2351
235201,Learning disabilities special education teacher,2352
235202,Learning support teacher,2352
235203,Remedial teacher,2352
235204,Teacher for the mentally handicapped,2352
235205,Teacher for the physically handicapped,2352
235206,Teacher of gifted children,2352
235207,Teacher of the hearing impaired,2352
235208,Teacher of the sight impaired,2352
235301,Intensive language teacher,2353
235302,Language researcher,2353
235303,Migrant education teacher,2353
235304,Practical language teacher,2353
235305,Second language teacher,2353
235401,Guitar teacher,2354
235402,Music teacher,2354
235403,Piano teacher,2354
235404,Voice teacher,2354
235501,Cultural art teacher (instructor),2355
235502,Dance instructor,2355
235503,Dance teacher,2355
235504,Drama teacher,2355
235505,Painting teacher,2355
235506,Sculpture teacher,2355
235601,Computer trainer,2356
235602,Information technology trainers,2356
235603,Software trainer,2356
235901,Adult literacy teacher,2359
235902,Literacy tutor,2359
235903,Mathematics coach,2359
235904,Professional tutor,2359
235905,School counselor,2359
241101,Accountant,2411
241102,Audit examiner,2411
241103,Auditor,2411
241104,Bank accountant,2411
241105,Chartered accountant,2411
241106,Cost accountant,2411
241107,Financial accountant,2411
241108,Financial controller,2411
241109,Management accountant,2411
241110,Tax accountant,2411
241201,Estate planner,2412
241202,Financial adviser,2412
241203,Financial planner,2412
241204,Investment adviser,2412
241301,Bond analyst,2413
241302,Budget analyst,2413
241303,Equity research analyst,2413
241304,Financial analyst,2413
241305,Financial modelers,2413
241306,Fiscal analyst,2413
241307,Investment analyst,2413
241308,Securities consultant,2413
242101,Business consultant,2421
242102,Management consultant,2421
242103,Organization and methods analyst,2421
242201,Intelligence officer,2422
242202,Policy analyst,2422
242203,Political adviser,2422
242301,Careers adviser,2423
242302,Human resource development specialist,2423
242303,Human resources expert,2423
242304,Industrial relations management specialist,2423
242305,Job analyst,2423
242306,Occupational analyst,2423
242307,Outplacement consultant,2423
242308,Personnel officer,2423
242309,Personnel specialist,2423
242310,Vocational guidance counsellor,2423
242401,Staff development officer,2424
242402,Training officer,2424
242403,Workforce development specialist,2424
243101,Advertising account executive,2431
243102,Advertising specialist,2431
243103,Market research analyst,2431
243104,Marketing account executive,2431
243105,Marketing consultant,2431
243106,Marketing specialist,2431
243107,Media production specialist,2431
243108,Merchandising supervisor,2431
243109,Sales promotion specialist,2431
243201,Press liaison officer,2432
243202,Public relations copywriter,2432
243203,Public relations officer,2432
243204,Publicity agent,2432
243301,Industrial products sales representative,2433
243302,Medical and pharmaceutical products sales representative,2433
243303,Technical sales representative (except ICT),2433
243401,Communications technology sales representative,2434
243402,Computers sales representative,2434
251101,Computer scientist,2511
251102,Computer systems analyst,2511
251103,Computer systems designer,2511
251104,IT business analyst,2511
251105,IT systems designer,2511
251106,Systems consultant,2511
251201,Artificial intelligence (AI) software developer,2512
251202,Computer applications engineer,2512
251203,Programmer analyst,2512
251204,Software architect,2512
251205,Software designer,2512
251206,Software developer,2512
251207,Software engineer,2512
251301,Animation programmer,2513
251302,Communications programmer,2513
251303,Digital content developers,2513
251304,Internet developer,2513
251305,Multimedia developer,2513
251306,Multimedia programmer,2513
251307,Website architect,2513
251308,Website developer,2513
251309,Website game developers,2513
251901,Computers quality assurance analyst,2519
251902,Software tester,2519
251903,Systems tester,2519
252101,Data administrator,2521
252102,Database administrator,2521
252103,Database analyst,2521
252104,Database architect,2521
252105,Database designers,2521
252201,Computer systems administrator,2522
252202,Computer systems administrator,2522
252203,Network administrator,2522
252301,Computers communication analyst,2523
252302,Network analyst,2523
252901,Data miner,2529
252902,Digital forensic specialist,2529
252903,ICT security specialist,2529
261101,Attorney,2611
261102,Lawyer,2611
261103,Legal adviser,2611
261104,Legal counsel,2611
261105,Legal officer,2611
261106,Prosecutor,2611
261107,Solicitor,2611
261201,Associate judge,2612
261202,Chief justice,2612
261203,Judge,2612
261204,Magistrate,2612
261901,Coroner,2619
261902,Jurist (except lawyer or judge),2619
261903,Notary,2619
262101,Archivist,2621
262102,Art gallery curator,2621
262103,Museum curator,2621
262104,Records manager,2621
262201,Bibliographer,2622
262202,Cataloguer,2622
262203,Librarian,2622
263101,Econometrician,2631
263102,Economic adviser,2631
263103,Economic analyst,2631
263104,Economist,2631
263105,Labor economist,2631
263106,Microeconomist,2631
263201,Anthropologist,2632
263202,Archaeologist,2632
263203,Criminologist,2632
263204,Ethnologist,2632
263205,Geographer,2632
263206,Sociologist,2632
263301,Genealogist,2633
263302,Historian,2633
263303,Philosopher,2633
263304,Political analyst,2633
263305,Political scientist,2633
263401,Clinical psychologist,2634
263402,Developmental psychologist,2634
263403,Educational psychologist,2634
263404,Organizational psychologist,2634
263405,Psychologist,2634
263406,Psychometrician,2634
263407,Psychotherapist,2634
263408,Sports psychologist,2634
263501,Addictions counselor,2635
263502,Bereavement counselor,2635
263503,Child and youth counselor,2635
263504,Counseling professionals,2635
263505,Family counselor,2635
263506,Marriage counselor,2635
263507,Parole officer,2635
263508,Probation officer,2635
263509,Social welfare officer,2635
263510,Social worker,2635
263511,Women's welfare organizer,2635
263601,Chaplain,2636
263602,Imam,2636
263603,Missionary,2636
263604,Pastor,2636
263605,Priest,2636
263606,Religion minister,2636
264101,Author,2641
264102,Book author,2641
264103,Book editor,2641
264104,Creative writer,2641
264105,Essayist,2641
264106,Indexer,2641
264107,Interactive media writer,2641
264108,Literary writer,2641
264109,Novelist,2641
264110,Playwright,2641
264111,Poet,2641
264112,Scriptwriter,2641
264113,Speech writer,2641
264114,Technical communicator,2641
264115,Technical writer,2641
264116,Writer,2641
264201,Columnist,2642
