unit_code,related_unit_code,related_occupation_title
9313,7111,House builder
9321,8183,Labelling machine operator
9321,8183,Packing machine operator
9321,8183,Wrapping machine operator
9329,8212,Electrical equipment assembler
9329,8212,Electronic equipment assembler
9329,9321,Hand packer
9329,8219,Leather products assembler
9329,8219,Rubber products assembler
9331,3421,Bicycle racer
9331,8321,Motorcycle rider
9331,8321,Motorcyclist
9333,8343,Crane operator
9333,8344,Forklift operator
9333,9621,Hotel porter
9333,9621,Luggage porter
9335,9331,Bicycle rider (conventional)
9335,9331,Pedal vehicle driver (conventional)
9411,3434,Chef
9411,5120,Cook
9411,5246,Food service counter attendant
9412,5120,Cook
9412,9411,Fast food preparer
9510,9621,Leaflet and newspaper deliverer
9510,5245,Service station attendant
9520,5243,Door-to-door sales representative
9520,9510,Free newspaper distributor
9520,5211,Market salesperson
9520,5212,Street food vendor
9520,5211,Street stall salesperson
9611,8332,Garbage truck driver
9611,9612,Waste picker
9612,9611,Refuse collector
9612,9613,Street sweeper
9621,4412,Mail carrier
9621,4412,Postman/woman
